AI GET    /ai_agent_default                                                      | Get AI agent default configuration | mode,language,model
File version reten GET    /file_version_retentions                                               | List file version retentions | file_id,file_version_id,policy_id,disposition_action,disposition_before,disposition_after,limit,marker
File version reten GET    /file_version_retentions/{file_version_retention_id}                   | Get retention on file | file_version_retention_id
Files GET    /files/{file_id}/thumbnail.{extension}                                 | Get file thumbnail | file_id,extension,min_height,min_width,max_height,max_width
Group memberships DELETE /group_memberships/{group_membership_id}                               | Remove user from group | group_membership_id
Group memberships GET    /group_memberships/{group_membership_id}                               | Get group membership | group_membership_id,fields
Group memberships GET    /groups/{group_id}/memberships                                         | List members of group | group_id,limit,offset
Group memberships GET    /users/{user_id}/memberships                                           | List user's groups | user_id,limit,offset
Group memberships POST   /group_memberships                                                     | Add user to group | fields
Group memberships PUT    /group_memberships/{group_membership_id}                               | Update group membership | group_membership_id,fields
Groups DELETE /groups/{group_id}                                                     | Remove group | group_id
Groups GET    /groups                                                                | List groups for enterprise | filter_term,fields,limit,offset
Groups GET    /groups/{group_id}                                                     | Get group | group_id,fields
Groups POST   /groups                                                                | Create group | fields
Groups PUT    /groups/{group_id}                                                     | Update group | group_id,fields
Legal hold policy  DELETE /legal_hold_policy_assignments/{legal_hold_policy_assignment_id}       | Unassign legal hold policy | legal_hold_policy_assignment_id
Legal hold policy  GET    /legal_hold_policy_assignments                                         | List legal hold policy assignments | policy_id,assign_to_type,assign_to_id,marker,limit,fields
Legal hold policy  GET    /legal_hold_policy_assignments/{legal_hold_policy_assignment_id}       | Get legal hold policy assignment | legal_hold_policy_assignment_id
Legal hold policy  GET    /legal_hold_policy_assignments/{legal_hold_policy_assignment_id}/file_versions_on_hold | List previous file versions for legal hold policy assignment | legal_hold_policy_assignment_id,marker,limit,fields
Legal hold policy  GET    /legal_hold_policy_assignments/{legal_hold_policy_assignment_id}/files_on_hold | List files with current file versions for legal hold policy assignment | legal_hold_policy_assignment_id,marker,limit,fields
Legal hold policy  POST   /legal_hold_policy_assignments                                         | Assign legal hold policy | 
Metadata cascade p DELETE /metadata_cascade_policies/{metadata_cascade_policy_id}                | Remove metadata cascade policy | metadata_cascade_policy_id
Metadata cascade p GET    /metadata_cascade_policies                                             | List metadata cascade policies | folder_id,owner_enterprise_id,marker,offset
Metadata cascade p GET    /metadata_cascade_policies/{metadata_cascade_policy_id}                | Get metadata cascade policy | metadata_cascade_policy_id
Metadata cascade p POST   /metadata_cascade_policies                                             | Create metadata cascade policy | 
Metadata cascade p POST   /metadata_cascade_policies/{metadata_cascade_policy_id}/apply          | Force-apply metadata cascade policy to folder | metadata_cascade_policy_id
Metadata instances DELETE /files/{file_id}/metadata/{scope}/{template_key}                       | Remove metadata instance from file | file_id,scope,template_key
Metadata instances DELETE /folders/{folder_id}/metadata/{scope}/{template_key}                   | Remove metadata instance from folder | folder_id,scope,template_key
Metadata instances GET    /files/{file_id}/metadata                                              | List metadata instances on file | file_id,view
Metadata instances GET    /files/{file_id}/metadata/{scope}/{template_key}                       | Get metadata instance on file | file_id,scope,template_key,view
Metadata instances GET    /folders/{folder_id}/metadata                                          | List metadata instances on folder | folder_id,view
Metadata instances GET    /folders/{folder_id}/metadata/{scope}/{template_key}                   | Get metadata instance on folder | folder_id,scope,template_key
Metadata instances POST   /files/{file_id}/metadata/{scope}/{template_key}                       | Create metadata instance on file | file_id,scope,template_key
Metadata instances POST   /folders/{folder_id}/metadata/{scope}/{template_key}                   | Create metadata instance on folder | folder_id,scope,template_key
Metadata instances PUT    /files/{file_id}/metadata/{scope}/{template_key}                       | Update metadata instance on file | file_id,scope,template_key
Metadata instances PUT    /folders/{folder_id}/metadata/{scope}/{template_key}                   | Update metadata instance on folder | folder_id,scope,template_key
Metadata taxonomie DELETE /metadata_taxonomies/{namespace}/{taxonomy_key}                        | Remove metadata taxonomy | namespace,taxonomy_key
Metadata taxonomie DELETE /metadata_taxonomies/{namespace}/{taxonomy_key}/nodes/{node_id}        | Remove metadata taxonomy node | namespace,taxonomy_key,node_id
Metadata taxonomie GET    /metadata_taxonomies/{namespace}                                       | Get metadata taxonomies for namespace | namespace,marker,limit
Metadata taxonomie GET    /metadata_taxonomies/{namespace}/{taxonomy_key}                        | Get metadata taxonomy by taxonomy key | namespace,taxonomy_key
Metadata taxonomie GET    /metadata_taxonomies/{namespace}/{taxonomy_key}/nodes                  | List metadata taxonomy nodes | namespace,taxonomy_key,level,parent,ancestor,query,include-total-result-count,marker
Metadata taxonomie GET    /metadata_taxonomies/{namespace}/{taxonomy_key}/nodes/{node_id}        | Get metadata taxonomy node by ID | namespace,taxonomy_key,node_id
Metadata taxonomie GET    /metadata_templates/{namespace}/{template_key}/fields/{field_key}/options | List metadata template's options for taxonomy field | namespace,template_key,field_key,level,parent,ancestor,query,include-total-result-count
Metadata taxonomie PATCH  /metadata_taxonomies/{namespace}/{taxonomy_key}                        | Update metadata taxonomy | namespace,taxonomy_key
Metadata taxonomie PATCH  /metadata_taxonomies/{namespace}/{taxonomy_key}/levels/{level_index}   | Update metadata taxonomy level | namespace,taxonomy_key,level_index
Metadata taxonomie PATCH  /metadata_taxonomies/{namespace}/{taxonomy_key}/nodes/{node_id}        | Update metadata taxonomy node | namespace,taxonomy_key,node_id
